protein	pval	fdr	lower_ci_logFC	median_logFC	upper_ci_logFC	lower_ci_av_exprs	median_av_exprs	upper_ci_av_exprs
AT1G07110.1	0.907785362946248	0.965282801513063	0.0752869340043311	0.0752869340043311	0.0752869340043311	18.7009380858837	18.7009380858837	18.7009380858837
AT1G07140.1	0.331734453043996	0.875144185916349	-2.96175190715434	-1.14478352492614	-0.582211813436494	16.6637914610238	17.5722756521379	17.8535615078827
AT1G07320.1	0.721609293193796	0.904569349884252	-0.800812635909833	-0.0311816431751205	1.24711448560898	16.6550198829333	17.2222270823219	17.7004095793934
AT1G07440.1	0.332738345115549	0.875144185916349	0.239321968037009	0.927455136641557	2.51119672100398	16.0982281011951	16.8900988933763	17.2341654776785
AT1G07750.1	0.574132037395544	0.895801605067968	0.339604629572822	0.339604629572822	0.339604629572822	18.793488881974	18.793488881974	18.793488881974
AT1G07810.1	0.116941908161924	0.741304164957484	0.0619234507981168	1.00736141888254	2.69740201165797	14.9732280186697	15.5279133374547	16.3394623495067
AT1G07890.1	0.452902006642264	0.895801605067968	0.859301592770776	0.859301592770776	0.859301592770776	21.0514931625219	21.0514931625219	21.0514931625219
AT1G08450.1	0.209540050516189	0.829883934360347	-0.971684175742545	1.09760628666959	2.58347900472062	14.2758422884959	15.1046913974138	15.552018580771
AT1G08480.1	0.0957967233941595	0.685115947255053	-0.432046685819441	0.71330281840998	3.52236065333406	14.6929765586289	15.4699047133972	16.0658389380987
AT1G08520.1	0.248353904906593	0.854973616954757	-3.38592905987982	-1.33334213509859	-1.02507047714846	16.9331994153861	17.9594928777767	18.1136287067518
AT1G08550.1	0.993224342343613	0.996386038749436	-0.00481226242646317	-0.00481226242646317	-0.00481226242646317	18.7281959697217	18.7281959697217	18.7281959697217
AT1G08640.1	0.0705091827225684	0.611493141222716	-0.28281000677346	1.6780782114882	2.75570197959468	14.4845319120834	15.2429607580704	15.7709516231119
AT1G08930.1	0.0448121151916737	0.501804701080366	-2.11612614718071	-2.11612614718071	-2.11612614718071	18.1758551023229	18.1758551023229	18.1758551023229
AT1G08980.1	0.10687402495982	0.706115118088221	-2.13601639107521	0.537623866926363	2.56311318175723	14.0405928250635	15.0224513978696	15.7118098260108
AT1G09010.1	0.886108159803759	0.955358634135182	0.109560121639898	0.109560121639898	0.109560121639898	18.0754623474616	18.0754623474616	18.0754623474616
AT1G09070.1	0.48552435553962	0.895801605067968	0.478390359396609	0.478390359396609	0.478390359396609	18.3018926834652	18.3018926834652	18.3018926834652
AT1G09130.3	0.682777152964404	0.898940373537971	0.00488653945772786	0.408469248449178	1.25285748195476	17.1531582031805	17.5753523199333	17.777143674429
AT1G09210.1	0.348733018055504	0.879134468076679	0.538577323865201	0.538577323865201	0.538577323865201	18.7222828575395	18.7222828575395	18.7222828575395
