protein	fraction_significant	binom_p_val	binom_fdr	lower_ci_logFC	median_logFC	upper_ci_logFC	lower_ci_av_exprs	median_av_exprs	upper_ci_av_exprs
AT1G14830.1	0	1	1	-0.0765455531267955	0.506224580114207	1.29587581118455	15.7788193181083	16.0678540030441	16.465366711289
AT1G15130.1	0	1	1	-0.128847080111981	0.0135367226462232	0.139762519353572	15.8784806700746	15.9404220221502	16.0145596061897
AT1G15200.3	0.168	1	1	0.783607526653534	1.06696051474604	1.46765747432478	16.1080064137115	16.2535891329948	16.4566519325885
AT1G15750.1	0	1	1	-0.526340683391184	-0.496556542636344	-0.471105855051304	17.9906979387742	17.9925726371199	17.9947719914484
AT1G15820.1	0	1	1	-1.18764834076932	-1.07722846070232	-0.900898052669603	17.6247770115982	17.677667142281	17.7674139523952
AT1G15930.1	0.977	2.86499749527271e-255	1.15725434541194e-253	2.47834744873787	3.41825928183762	5.1027634026526	14.3676915718009	15.1693459060752	15.6738569852677
AT1G15950.1	0	1	1	0.219099955251163	0.520818014115143	0.829295028370754	16.1091438421486	16.2569101802296	16.4120529598101
AT1G16300.1	0	1	1	-0.59693585649077	-0.171210558417038	0.244958277573886	16.7905305232067	17.0121201170135	17.2381447029392
AT1G16350.1	0	1	1	-0.40885949736404	-0.287605577240127	-0.188566312494761	15.710894581314	15.7688015943874	15.8150357865424
AT1G16610.3	0.997	1.55544715070227e-293	1.0348298396731e-291	1.32068065852034	1.35046479927518	1.37591548686022	17.3680481206381	17.3699228189837	17.3721221733123
AT1G17070.1	0	1	1	0.085652972121484	0.350716987909792	0.558289355102354	15.71786704043	15.8318102488796	15.9556953174129
AT1G17130.2	0	1	1	-0.127022984133971	0.130538097352018	0.2537142227152	16.027411403509	16.1530084881243	16.2162192626103
AT1G17210.1	0	1	1	-0.189016947030687	-0.159232806275849	-0.13378211869081	16.7510747652907	16.7529494636363	16.7551488179648
AT1G17290.1	0	1	1	-0.341473943699737	-0.0884318234956251	0.285027683158964	15.6599075389102	15.8060062849704	15.9726663562673
AT1G17370.1	0	1	1	-0.349553582742099	-0.114417652994826	0.386303710274179	15.9140488416048	16.0310761147175	16.2813346971159
AT1G17420.1	0.942	7.83987430356016e-207	1.70517266102434e-205	2.05810436796856	2.94561329422986	4.53270915846698	14.1653696699591	14.9050592802128	15.3566147969905
AT1G17470.1	0.584	6.01767845030092e-08	4.75943659251073e-07	-4.18657387550881	-2.16399521113965	-1.09299450437144	13.6003268719799	14.5235566478827	15.1013325949461
AT1G17745.2	0.54	0.00622207313858871	0.0445390172135686	-4.15421902479658	-2.25253263885936	-1.17693046002311	13.6458359754559	14.6022975381864	15.1439866650411
AT1G18070.3	0.767	2.34018316670128e-67	2.59485015837171e-66	-4.31083111595134	-2.55420420104585	-1.48842033389065	13.8503758397933	14.7423994173799	15.2607639573372
