protein	pval	fdr	lower_ci_logFC	median_logFC	upper_ci_logFC	lower_ci_av_exprs	median_av_exprs	upper_ci_av_exprs
AT1G17760.1	0.00361350129297842	0.103858335365836	2.92399787285719	4.14236967663291	6.14389919061844	14.8316454634476	15.8324102204404	16.4415961223282
AT1G17860.1	0.549164185981974	0.667021340051165	-1.13534832657511	-0.694728319753332	-0.517900074632281	16.9801048738111	17.200414877222	17.2888289997825
AT1G17880.1	0.172205538753792	0.402084832729875	-3.08415432943236	-0.67914099807359	0.516066039904007	14.8671586512731	15.3465314416216	16.3084235289866
AT1G18080.1	0.460035157240742	0.614460329663076	0.0106083041188539	0.946921131306981	2.1982171896392	16.4550648530243	16.9890928961593	17.5365944471648
AT1G18450.1	0.471366138525844	0.622765196264277	-0.531206531863767	0.79320193932748	1.89534262471896	15.2643206606497	15.9969743573984	16.4161596837278
AT1G18540.1	0.444810997306245	0.603297562258197	-0.209519720837363	0.476278625515664	3.00035425251647	15.4903191771846	15.6655583398813	16.8148316897089
AT1G19860.2	0.0216231899443501	0.194399057417073	1.9911927762566	3.1019223732517	5.35117066208559	15.0754684244759	16.2000925688929	16.7554573673904
AT1G20010.1	0.568596112990749	0.682424384944728	-1.35580501902752	0.37195206779075	2.27074535180481	16.2712878058733	16.9034843446549	17.053365796845
AT1G20110.1	0.0540242783293217	0.265873584734827	1.73182577314228	4.17882031744475	4.62621917988572	14.1098860986565	14.3704066841268	15.5642415356392
AT1G20200.1	0.31491868930597	0.52906339803403	-0.789207875651479	0.510351802799334	2.18840720159799	14.2009781711773	15.1661639402106	16.0317235921264
AT1G20580.1	0.190776489701989	0.426441565216211	1.50024062363738	3.30727429790821	4.06234273784387	17.1924581592673	17.5699923792351	18.4735092163705
AT1G20620.6	0.619125951808767	0.706027361866208	-0.58600898588356	-0.58600898588356	-0.58600898588356	20.224694961977	20.224694961977	20.224694961977
AT1G20696.2	0.540876017490749	0.657955887130514	-0.187619504289149	0.65124711210916	2.78634324677251	15.3779390031417	16.6094092482096	16.8099628835513
AT1G20920.1	0.461050574308276	0.614460329663076	-1.49483591169515	-0.284332214319057	2.01962507249987	14.3686358519092	15.5105254656287	15.7808540914909
AT1G20960.1	0.104445674013689	0.323544965657796	1.10777589181683	2.71644851016555	5.12037818868588	15.7100194361763	16.9119842754365	17.7163205846108
