protein	fraction_significant	binom_p_val	binom_fdr	lower_ci_logFC	median_logFC	upper_ci_logFC	lower_ci_av_exprs	median_av_exprs	upper_ci_av_exprs
AT1G61520.1	0.875	1.76651527680515e-139	2.72043352627994e-137	-8.45805563189578	-6.33684540984668	-4.80566960077305	15.0737825663254	16.1308372508946	16.8364972623138
AT1G67090.1	0	1	1	0.923450229398228	1.29916493492634	1.51976553029788	16.9317382010211	17.0444988811161	17.2647263361723
AT1G68010.2	0	1	1	-0.781967960445193	-0.124066036425131	0.187625938472104	16.119602760665	16.4696553693515	16.6194243738217
AT1G68560.1	0	1	1	-1.46644384078558	-0.95173236927797	-0.618343133648379	16.4572852579399	16.5882300274506	16.838290145235
AT1G70410.2	0.072	1	1	1.05856238608498	3.63972110321727	7.19958970425147	11.9218565179952	13.7146187535354	14.9815655726582
AT1G71695.1	0	1	1	-0.467455703650481	-0.000394771755652994	0.888686058719312	16.5138835417149	16.7001516782828	17.183461572325
AT1G72150.1	0	1	1	-3.27392246349131	-2.6389724916281	-2.00983186157747	16.8242041945042	17.1298504338013	17.4482088769343
AT1G72370.1	0	1	1	-2.39273210711046	-1.18496488585381	0.073011002758961	17.0790507717551	17.709032948588	18.3056449398025
AT1G74060.1	0	1	1	-2.52300706389435	-1.70578894266307	-0.417641665127793	17.2411732109562	17.8791349603516	18.2754200530962
AT1G75750.1	0	1	1	-0.487894412720123	-0.0304528745662369	0.171310500576307	16.3764823339504	16.4694586427545	16.7155676903918
AT1G76160.1	0	1	1	-1.05638925562188	-0.344980363598575	0.173680237868001	15.9747969953713	16.3059927498818	16.6047108144207
AT1G76780.2	0.08	1	1	-3.80237437193842	-3.12153673632349	-2.61598702673986	16.9663111644527	17.3190398965127	17.5584534950176
AT1G77180.1	0.081	1	1	1.49896107898254	3.92270099367925	7.43344410737136	12.1615407261774	13.916166411213	15.1245931055981
AT1G78060.1	0	1	1	-3.89422136663174	-3.00936552498449	-0.876990108058098	16.2490779305999	17.3584279317085	17.7869965570022
AT1G78300.1	0.09	1	1	1.4281576823	3.88515141277548	7.6232843401368	12.1078822416913	13.9213202216163	15.1602050604312
AT1G78830.1	0	1	1	-0.206662796730339	-0.0485158759573398	0.124535622695913	17.9838535468685	18.0014359581744	18.0267521510333
AT1G78850.1	0	1	1	-1.48211943112387	-1.32471016662349	-1.14502679466239	17.7630321920494	17.7989669755569	17.8326404787116
AT1G78900.1	0	1	1	-1.07046990454443	-0.73043370286198	-0.456741554236469	16.2974570440652	16.3868763935001	16.5680110729877
AT1G79280.2	0	1	1	-0.661881671581309	-0.469483132500684	-0.29576464924018	17.789219660445	17.8306675293137	17.8931284433755
AT1G79350.1	0.065	1	1	1.37063983469669	3.98399369675188	7.59871406089066	12.0500971699809	13.8732620297854	15.1403454781664
AT1G79920.1	0.093	1	1	1.43881193287784	3.90393795770903	7.73559830975207	12.0465694862972	13.9493218293639	15.1572784368588
AT1G79930.1	0.482	0.879015331915489	1	3.95559365257436	6.54823317051447	10.5821283090444	13.1871611323013	15.1830767511578	16.4611369070775
AT1G80930.1	0.093	1	1	1.39460511588694	3.94055950357713	7.83624536621878	11.9059556630036	13.8043302439365	15.1173072850685
AT2G01250.1	0.099	1	1	1.35478443844468	3.79433548580024	7.63659070771557	11.9926631449283	13.9102264326498	15.1036942406755
AT2G02100.1	0.407	0.999999998489139	1	3.64343136919975	6.08744359038815	9.50744602850764	13.2823299572307	14.960382182401	16.1813602329462
AT2G02470.1	0.276	1	1	2.69571057680576	5.06155644397629	8.9417860506092	12.5265583600299	14.5118064906559	15.7019578986305
AT2G05920.1	0	1	1	-0.870737369988808	-0.403099716235766	-0.0400758754892723	16.2413028289247	16.4023883470056	16.6336485336047
AT2G06850.1	0	1	1	0.487248670838445	0.651187852525053	0.83193842475114	16.1661187843151	16.1932172371589	16.2268614913685
AT2G10940.1	0	1	1	-0.230059412462462	-0.0719124916894577	0.101139006963793	19.8412104597443	19.8587928710502	19.8841090639091
AT2G13360.1	0	1	1	-3.5239215501686	-2.65017553277758	-1.08645691774733	16.7476441563427	17.5546546774966	17.9764736369169
AT2G16485.1	0.254	1	1	2.79680335254984	5.07748808010987	8.37981888220066	12.86925741004	14.5169939865213	15.673055978845
AT2G16950.1	0.039	1	1	1.19690309596522	3.70307478249479	7.45099622763125	11.973340693133	13.8164621171286	15.0452743644092
AT2G17360.1	0	1	1	-0.20640166024728	0.0438194745010243	0.338930559999285	16.2554214968565	16.3827463769634	16.4662946059962
AT2G18020.1	0	1	1	-0.133364238240676	0.144173279785579	0.365876996307203	16.4811879108029	16.5655811694833	16.7358026218675
AT2G18960.1	0	1	1	-0.452501579830693	-0.117487769361368	0.123999626535341	16.2352431209649	16.3498512643612	16.5406448468436
AT2G19480.1	0.262	1	1	2.55521902442788	5.04500013981993	8.49134738989539	12.7729809947995	14.4766606756131	15.7613836099219
AT2G21330.1	0	1	1	-0.704453398283271	-0.543007077662788	-0.350935589977724	16.7423621651939	16.7988160236359	16.8451217357623
AT2G21390.1	0.136	1	1	1.65175435798797	4.18444779898031	8.04599890106729	12.0532948022695	14.0117051565639	15.2963316165138
AT2G21410.1	0.715	1.50006639124498e-43	7.70034080839091e-42	-4.25090084983084	-4.03443249339497	-3.79775974920481	17.7733239746117	17.8525344297587	17.9326175103948
AT2G21660.1	0	1	1	-0.506632427555898	-0.0405711205069945	0.18067141242523	16.4256233336775	16.5228612488798	16.7709977541509
AT2G24270.2	0	1	1	-0.318270815259925	-0.0467178013189925	0.165705746238005	16.3009073811442	16.4088739667341	16.5850978265868
AT2G25970.1	0	1	1	-0.456405335257368	0.0934645070433975	0.303708969754671	16.3511964957378	16.4552617133056	16.7647982716658
AT2G28000.1	0.388	0.99999999999955	1	-7.79646144159621	-5.0815320037931	-2.49773058278862	13.8812241385021	15.4310055748743	16.6232537598727
AT2G30620.1	0	1	1	-2.62599035553329	-1.84625837129668	-1.00178191909588	17.5740247590367	17.9864853129724	18.3797562258235
AT2G33210.1	0.141	1	1	-5.71475665073779	-3.56775449079015	-2.26444795629667	13.6999162193635	14.8290685842289	15.5180186482486
AT2G33340.1	0.089	1	1	1.44238476151456	3.96097867155317	7.49974935493985	12.0348795725284	13.8553601246874	15.0935072201823
AT2G33730.1	0.071	1	1	1.2657264106064	3.95611555865769	7.7443790139881	11.9667892448582	13.8563898595824	15.1682815381728
AT2G34040.1	0	1	1	0.127109078927378	0.523955452473225	0.839595406585377	16.5117011085655	16.6547706451729	16.902974422104
AT2G34420.1	0	1	1	-0.172955164282125	-0.0157760464254276	0.159871105781611	20.1103495776325	20.1371116892766	20.1706274672372
AT2G36530.1	0	1	1	-1.58671501620005	-0.634141500496457	-0.220292109218732	16.3980541265859	16.5863980873079	17.091424798798
AT2G37340.1	0.125	1	1	2.06850784895587	4.53561859747257	8.37940492879835	12.2796651114407	14.2156091001306	15.4705234897322
AT2G38540.1	0	1	1	-2.54833845755722	-1.96042289916405	-1.23595093355632	18.122380109054	18.4677526990068	18.7466903963408
AT2G39310.1	0	1	1	-3.9212150241478	-2.42514715976394	-0.254315952013265	16.1207392208967	17.1093692832888	17.8860715093557
AT2G39730.1	0	1	1	-0.7168665880949	-0.558719667321902	-0.385668168668649	18.6233020639614	18.6408844752673	18.6662006681263
AT2G39800.1	0	1	1	-0.523295381547945	-0.235313585990787	-0.041307486416025	16.26028415074	16.3407362103196	16.5224098584038
AT2G41530.1	0	1	1	-2.6348801042017	-1.92917113920732	-1.50251287351507	16.8968475272329	17.1134979933042	17.4754142380926
AT2G41840.1	0.172	1	1	2.66732146068927	5.21123309503204	8.91782885275605	12.6364148906771	14.4965648276354	15.7587743380228
AT2G42250.1	0.742	3.77381643844952e-55	2.32467092608491e-53	-8.34704649148245	-6.0348584943222	-4.34456190940241	14.8582523329338	15.9248872281755	16.7657349448742
AT2G42520.1	0	1	1	-0.246910382957268	-0.0113879127752975	0.226748689246419	16.4420819542947	16.520792291426	16.6543760028033
AT2G43030.1	0.092	1	1	1.19008459364986	3.74446625998361	7.76016094675747	11.8963765964738	13.8553579923822	15.1457111744404
AT2G47610.1	0.115	1	1	1.44641996607202	4.048384062731	7.88082645818027	12.1828099736358	14.0382463797649	15.2797053387345
AT3G01500.2	0	1	1	-1.80983356393239	-1.52098105947442	-1.12200906508533	18.122523825375	18.3085595804129	18.4399692866621
AT3G01540.2	0.128	1	1	1.78977213512427	4.30480148935844	8.24975919174812	12.1418123886562	14.114973891451	15.3522894977483
AT3G04120.1	0	1	1	0.59050803742232	0.762943451681199	0.947633823479956	18.2613390279142	18.3038190728282	18.3469492543818
AT3G05680.1	0.815	3.73886728722543e-95	3.83857041488477e-93	7.72492434017063	10.1215521713258	13.8527748985089	15.2086843593768	17.0570015264699	18.2526572035688
AT3G08580.1	0	1	1	-3.17763035721141	-2.91065466635215	-2.56556706591627	17.145129377978	17.2877627697601	17.389570734322
